Süre;Uzama;Gerilim 1;Yük
(sec);(mm);(mm/mm);(N)
33,20;2,21;0,0235;12433,0930
33,40;2,23;0,0237;12452,3357
33,60;2,24;0,0239;12462,4945
33,80;2,25;0,0241;12480,5436
34,00;2,27;0,0243;12499,7199
34,20;2,28;0,0245;12513,7180
34,40;2,29;0,0247;12528,9187
34,60;2,31;0,0249;12547,8432
34,80;2,32;0,0251;12569,3545
35,00;2,33;0,0253;12579,9268
35,20;2,35;0,0255;12597,1228
35,40;2,36;0,0257;12614,8999
35,60;2,37;0,0259;12630,7845
35,80;2,39;0,0261;12643,8275
36,00;2,40;0,0263;12660,6986
36,20;2,41;0,0265;12682,8894
36,40;2,43;0,0267;12690,3430
36,60;2,44;0,0269;12706,7581
36,80;2,45;0,0271;12723,7573
37,00;2,47;0,0273;12744,0825
37,20;2,48;0,0275;12755,0662
37,40;2,49;0,0278;12770,3160
37,60;2,51;0,0280;12789,5638
37,80;2,52;0,0282;12803,4651
38,00;2,53;0,0284;12817,2383
38,20;2,55;0,0286;12831,3527
38,40;2,56;0,0288;12851,9565
38,60;2,57;0,0290;12863,9892
38,80;2,59;0,0292;12877,6297
39,00;2,60;0,0294;12894,3205
39,20;2,61;0,0296;12909,7566
39,40;2,63;0,0298;12920,1189
39,60;2,64;0,0300;12936,2494
39,80;2,65;0,0302;12958,1735
40,00;2,67;0,0304;12969,0364
40,20;2,68;0,0306;12982,5532
40,40;2,69;0,0308;12998,1533
40,60;2,71;0,0311;13015,9542
40,80;2,72;0,0313;13023,8548
41,00;2,73;0,0315;13039,1404
41,20;2,75;0,0317;13059,4224
41,40;2,76;0,0319;13071,4580
41,60;2,77;0,0321;13083,0124
41,80;2,79;0,0323;13097,3533
42,00;2,80;0,0325;13117,5712
42,20;2,81;0,0327;13124,3706
42,40;2,83;0,0329;13138,4313
42,60;2,84;0,0331;13156,8119
42,80;2,85;0,0334;13172,3419
43,00;2,87;0,0336;13181,4003
43,20;2,88;0,0338;13195,5400
43,40;2,89;0,0340;13215,3302
43,60;2,91;0,0342;13226,2528
43,80;2,92;0,0344;13238,0530
44,00;2,93;0,0346;13252,8111
44,20;2,95;0,0348;13268,5110
44,40;2,96;0,0350;13279,0536
44,60;2,97;0,0352;13292,3409
44,80;2,99;0,0355;13310,4920
45,00;3,00;0,0357;13321,3222
45,20;3,01;0,0359;13334,8361
45,40;3,03;0,0361;13345,2550
45,60;3,04;0,0363;13363,3554
45,80;3,05;0,0365;13371,5481
46,00;3,07;0,0367;13383,4094
46,20;3,08;0,0369;13400,8989
46,40;3,09;0,0371;13414,3099
46,60;3,11;0,0374;13424,7109
46,80;3,12;0,0376;13436,7585
47,00;3,13;0,0378;13456,0183
47,20;3,15;0,0380;13462,0517
47,40;3,16;0,0382;13474,5896
47,60;3,17;0,0384;13489,1048
47,80;3,19;0,0386;13503,6051
48,00;3,20;0,0388;13512,1390
48,20;3,21;0,0391;13523,2687
48,40;3,23;0,0393;13542,0352
48,60;3,24;0,0395;13551,5600
48,80;3,25;0,0397;13561,7241
49,00;3,27;0,0399;13575,4287
49,20;3,28;0,0401;13593,2863
49,22;3,28;0,0401;13592,8765
49,23;3,28;0,0401;13592,2357
49,23;3,28;0,0401;13592,0629
58,79;3,28;0,0110;12842,6805
58,99;3,29;0,0110;13154,9582
59,19;3,31;0,0110;13553,5285
59,39;3,32;0,0110;13633,3913
59,59;3,34;0,0110;13642,9131
59,79;3,35;0,0110;13655,2989
59,99;3,36;0,0110;13667,9590
60,19;3,38;0,0110;13681,8364
60,39;3,39;0,0110;13687,9638
60,59;3,40;0,0110;13701,6907
60,79;3,42;0,0110;13715,9631
60,99;3,43;0,0110;13722,2931
61,19;3,44;0,0110;13733,9517
61,39;3,46;0,0110;13748,7665
61,59;3,47;0,0110;13763,9955
61,79;3,48;0,0110;13767,1620
61,99;3,50;0,0110;13779,5955
62,19;3,51;0,0110;13794,5637
62,39;3,52;0,0110;13803,7741
62,59;3,54;0,0110;13812,0413
62,79;3,55;0,0110;13826,5088
62,99;3,56;0,0110;13843,0819
63,19;3,58;0,0110;13849,1675
63,39;3,59;0,0110;13859,2228
63,59;3,60;0,0110;13873,3402
63,79;3,62;0,0110;13883,7188
63,99;3,63;0,0110;13890,3692
64,19;3,64;0,0110;13902,2604
64,39;3,66;0,0110;13919,0137
64,59;3,67;0,0110;13926,3377
64,79;3,68;0,0110;13935,1711
64,99;3,70;0,0110;13947,3230
65,19;3,71;0,0110;13962,7308
65,39;3,72;0,0110;13967,7748
65,59;3,74;0,0110;13977,7035
65,79;3,75;0,0110;13992,7775
65,99;3,76;0,0110;14002,5035
66,19;3,78;0,0110;14010,2640
66,39;3,79;0,0110;14020,9585
66,59;3,80;0,0110;14037,6449
66,79;3,82;0,0110;14043,8184
66,99;3,83;0,0110;14054,1568
67,19;3,84;0,0110;14066,5635
67,39;3,86;0,0110;14074,8665
67,59;3,87;0,0110;14081,2173
67,79;3,88;0,0110;14090,9955
67,99;3,90;0,0110;14108,2197
68,19;3,91;0,0110;14114,2130
68,39;3,92;0,0110;14122,9123
68,59;3,94;0,0110;14134,6022
68,79;3,95;0,0110;14147,8166
68,99;3,96;0,0110;14153,0856
69,19;3,98;0,0110;14160,1503
69,39;3,99;0,0110;14175,7324
69,59;4,00;0,0110;14184,7298
69,79;4,02;0,0110;14190,9584
69,99;4,03;0,0110;14201,4995
70,19;4,04;0,0110;14215,9626
70,39;4,06;0,0110;14220,8204
70,59;4,07;0,0110;14227,9789
70,79;4,08;0,0110;14241,5687
70,99;4,10;0,0110;14250,7643
71,19;4,11;0,0110;14257,2001
71,39;4,12;0,0110;14265,8263
71,59;4,14;0,0110;14280,6202
71,79;4,15;0,0110;14285,7552
71,99;4,16;0,0110;14294,3099
72,19;4,18;0,0110;14305,5096
72,39;4,19;0,0110;14317,0521
72,59;4,20;0,0110;14320,3124
72,79;4,22;0,0110;14326,4100
72,99;4,23;0,0110;14340,4230
73,19;4,24;0,0110;14347,8677
73,39;4,26;0,0110;14355,8845
73,59;4,27;0,0110;14366,3570
73,79;4,28;0,0110;14378,7578
73,99;4,30;0,0110;14383,4472
74,19;4,31;0,0110;14388,2751
74,39;4,32;0,0110;14400,3183
74,59;4,34;0,0110;14407,5036
74,79;4,35;0,0110;14414,4252
74,99;4,36;0,0110;14423,5119
75,19;4,38;0,0110;14437,9959
75,39;4,39;0,0110;14444,3080
75,59;4,40;0,0110;14449,2701
75,79;4,42;0,0110;14459,6428
75,99;4,43;0,0110;14470,2435
76,19;4,44;0,0110;14475,4052
76,39;4,46;0,0110;14480,1423
76,59;4,47;0,0110;14493,7530
76,79;4,48;0,0110;14500,7446
76,99;4,50;0,0110;14507,0747
77,19;4,51;0,0110;14515,8648
77,39;4,52;0,0110;14527,4878
77,59;4,54;0,0110;14531,4112
77,79;4,55;0,0110;14536,8189
77,99;4,56;0,0110;14547,3182
78,19;4,58;0,0110;14554,8329
78,39;4,59;0,0110;14561,4982
78,59;4,60;0,0110;14570,1826
78,79;4,62;0,0110;14582,5014
78,99;4,63;0,0110;14588,3918
79,19;4,64;0,0110;14592,5969
79,39;4,66;0,0110;14601,9876
79,59;4,67;0,0110;14612,7552
79,79;4,68;0,0110;14615,5089
79,99;4,70;0,0110;14622,5497
